"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",26.5,
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",26.1,
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",25.5,
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",28.1,
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",24.7,
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",22.2,
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",23.5,
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-07",22.6,
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-08",22.1,
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-09",21.6,
"TUR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-10",21,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",5.347974,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",5.782411,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",6.068368,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",5.515583,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",5.20086,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",5.514501,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",6.104477,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",4.91321,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-07",6.196674,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-08",4.994871,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-09",5.514472,
"MEX","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-10",5.301537,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",5.6,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",5.5,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",5.4,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",5.2,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",5.1,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",4.9,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",4.8,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",4.8,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-07",4.8,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-08",4.8,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-09",4.8,
"DEU","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-10",4.8,
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",6.89831,
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",7.434431,
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",6.433016,
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",6.341101,
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",6.161202,
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",6.505904,
"MEX","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",6.992796,
